Problem NumberWidth,Height,Number Islands,Nodes Visited,Time (ms),Max Memory (MiB)
692,92,87,969,6920,6.16796875
693,71,93,1,6603,9.077880859375
694,75,100,973,6436,5.91015625
695,51,50,3,2549,3.02197265625
696,71,77,151,5435,5.114990234375
697,80,70,239,5510,5.127197265625
698,89,95,1123,6188,5.651123046875
699,53,56,1,2967,3.849853515625
700,99,100,6,9899,11.802001953125
701,97,93,1,9021,11.9541015625
702,63,78,503,4591,4.06005859375
703,98,62,474,5832,5.23779296875
704,62,99,458,5903,5.501953125
705,72,50,237,1173,0.634033203125
706,57,76,2,4332,5.314208984375
707,88,91,1,8008,9.877197265625
708,51,57,373,2529,1.696044921875
709,73,78,765,4725,4.1240234375
710,62,69,524,3546,3.096923828125
711,68,53,132,3553,3.260986328125
712,58,100,1,5800,7.52294921875
713,100,88,1,8800,11.5888671875
714,73,90,859,5536,4.987060546875
715,62,68,20,4209,4.40185546875
716,67,69,599,3373,2.261962890625
717,66,59,441,3553,3.151123046875
718,58,89,315,5048,4.921875
719,93,82,736,7197,6.27490234375
720,84,98,797,7670,6.89306640625
721,99,51,144,4993,4.777099609375
722,69,73,510,4720,4.60205078125
723,71,91,3,6461,7.97900390625
724,88,96,1,8448,11.379150390625
725,89,80,163,792,0.595947265625
726,97,94,50,9101,9.923095703125
727,57,85,212,1068,0.623046875
728,52,100,666,3780,3.213134765625
729,70,55,295,1519,0.91796875
730,93,71,1,6600,7.569091796875
731,71,53,372,3486,3.0498046875
732,89,89,87,7894,8.35400390625
733,75,52,513,3258,2.349853515625
734,60,58,445,2414,1.48095703125
735,55,72,525,3403,3.0078125
736,57,76,71,4305,4.25390625
737,98,96,1191,8187,8.212890625
738,73,65,6,4744,5.6259765625
739,50,50,319,1966,1.256103515625
740,83,96,98,7930,9.005859375
741,50,56,319,2528,1.803955078125
742,70,54,26,3774,4.037109375
743,92,64,31,5876,6.15380859375
744,51,96,399,4718,4.14013671875
745,100,88,1035,5469,4.823974609375
746,87,54,407,4489,4.052978515625
747,88,63,522,5201,4.619140625
748,66,74,83,4853,4.721923828125
749,83,70,383,5616,5.180908203125
750,84,96,486,2425,1.47412109375
751,56,93,301,1496,0.927978515625
752,57,98,20,96,0.26611328125
753,95,61,237,5717,5.284912109375
754,77,81,757,5554,4.904052734375
755,73,59,1,4307,5.657958984375
756,96,51,8,4894,5.56103515625
757,83,97,1,8051,10.5439453125
758,71,68,4,4827,5.916015625
759,97,59,729,4609,3.97412109375
760,70,95,178,6586,6.294921875
761,64,82,367,5097,4.551025390625
762,51,92,498,2470,1.492919921875
763,59,68,373,3716,3.223876953125
764,61,93,744,4841,4.3359375
765,73,51,212,3656,3.2080078125
766,73,68,413,2098,1.27001953125
767,83,50,107,4111,3.875
768,51,76,2,3876,4.632080078125
769,90,87,592,7524,6.73583984375
770,65,99,786,4206,3.739990234375
771,87,83,660,3265,2.10888671875
772,89,100,5,8898,10.596923828125
773,91,80,878,6579,5.76904296875
774,69,53,332,3500,3.125
775,69,57,503,3334,2.89990234375
776,63,70,15,4407,4.68603515625
777,57,94,579,4934,4.325927734375
778,96,73,522,2681,1.594970703125
779,57,83,455,2314,1.379150390625
780,50,65,158,3186,2.905029296875
781,76,69,10,46,0.22900390625
782,64,75,584,3091,2.0439453125
783,68,71,190,4742,4.375
784,85,95,164,8029,8.320068359375
785,56,68,5,21,0.166015625
786,89,98,1039,7780,6.80712890625
787,77,63,2,4851,5.7119140625
788,80,67,658,3836,3.3779296875
789,97,92,148,728,0.635009765625
790,98,94,1,9212,11.388916015625
791,79,91,484,2431,1.467041015625
792,85,78,750,5884,5.15087890625
793,90,52,177,875,0.538818359375
794,60,69,317,1562,0.94091796875
795,88,96,20,8443,9.635986328125
796,58,71,86,4077,3.862060546875
797,90,96,1081,6707,5.76513671875
798,99,93,57,9185,9.7880859375
799,68,73,621,3314,2.216064453125
800,60,64,388,3618,3.18798828125
801,51,95,5,4845,5.818115234375
802,62,92,670,5097,4.494140625
803,91,76,1,6916,8.81103515625
804,55,70,1,3850,4.96484375
805,91,62,128,5590,5.319091796875
806,86,100,1,8600,11.130859375
807,93,85,1,7905,10.931884765625
808,87,55,438,4472,3.9130859375
