Problem NumberWidth,Height,Number Islands,Nodes Visited,Time (ms),Max Memory (MiB)
725,79,65,607,5300,2.14404296875
726,88,71,526,7135,2.949951171875
727,53,72,562,2517,1.072998046875
728,74,65,469,1717,0.822998046875
729,66,95,434,7253,3.09814453125
730,72,100,86,7622,4.413818359375
731,66,73,548,5365,2.419921875
732,87,89,944,8005,3.43994140625
733,98,93,1317,5897,2.56298828125
734,86,66,203,642,0.464111328125
735,64,75,220,5493,2.5751953125
736,72,52,310,4291,1.84814453125
737,97,92,584,1968,1.0859375
738,83,80,977,5540,2.296875
739,66,95,648,6876,2.845947265625
740,57,92,532,5958,2.593017578125
741,79,62,39,5121,3.035888671875
742,54,54,115,3256,1.5400390625
743,73,79,626,6381,2.679931640625
744,88,77,7,6875,4.260986328125
745,60,63,188,4328,2.05810546875
746,68,84,824,4642,1.9228515625
747,67,84,566,2077,0.988037109375
748,78,98,1040,4263,1.87109375
749,56,69,497,3931,1.60205078125
750,58,92,20,5473,3.64501953125
751,62,52,161,3646,1.652099609375
752,89,53,212,5389,2.4609375
753,74,55,519,2135,0.948974609375
754,77,74,853,4420,1.83984375
755,66,55,130,4041,1.955078125
756,80,84,256,7500,3.870849609375
757,97,94,547,10606,4.616943359375
758,62,84,505,5797,2.407958984375
759,62,64,238,4564,1.991943359375
760,54,57,20,3231,1.90185546875
761,89,96,350,9573,4.66015625
762,72,69,735,4293,1.763916015625
763,60,93,825,4776,1.97509765625
764,72,81,419,6728,2.8779296875
765,78,75,877,5244,2.126953125
766,78,79,862,6023,2.446044921875
767,99,90,17,51,0.373046875
768,100,86,1281,6784,2.802001953125
769,78,69,487,1639,0.824951171875
770,92,81,631,8602,3.591796875
771,71,82,580,2125,1.01416015625
772,51,77,40,4142,2.416015625
773,85,83,158,7719,4.050048828125
774,89,89,1171,5584,2.33984375
775,90,100,876,3141,1.51904296875
776,87,90,45,8186,4.900146484375
777,92,71,541,7566,3.16015625
778,58,96,3,5597,3.583984375
779,70,90,863,5775,2.35400390625
780,55,71,606,3047,1.27392578125
781,56,96,550,6032,2.489990234375
782,67,98,510,7468,3.18408203125
783,89,56,70,5232,3.0419921875
784,67,88,78,6235,3.547119140625
785,67,100,166,7375,4.02197265625
786,89,99,1306,6787,2.81103515625
787,69,95,606,2086,1.034912109375
788,66,93,876,5091,2.091064453125
789,76,61,614,2515,1.10595703125
790,82,59,740,3477,1.47021484375
791,74,86,909,5843,2.39599609375
792,83,55,667,2994,1.27099609375
793,65,80,426,6013,2.591064453125
794,76,66,647,5247,2.12890625
795,54,83,225,5156,2.371826171875
796,58,60,66,3770,2.072021484375
797,91,65,876,3989,1.691162109375
798,92,76,1013,6300,2.56298828125
799,62,79,729,4133,1.705078125
800,71,99,33,7253,4.442138671875
801,90,68,886,5466,2.23291015625
802,76,58,184,5004,2.4970703125
803,84,57,328,1069,0.583984375
804,68,87,845,3761,1.609130859375
805,75,77,382,1260,0.7119140625
806,100,53,251,6033,2.751953125
807,76,70,699,5582,2.251953125
808,94,67,8,6361,3.951904296875
809,77,62,702,4677,1.919921875
810,80,65,19,5322,3.291015625
811,52,67,1,3484,2.208984375
812,98,81,1117,7114,2.89794921875
813,82,79,501,7465,3.14794921875
814,89,75,276,892,0.59619140625
815,75,98,977,3884,1.7177734375
816,82,55,654,3951,1.633056640625
817,77,52,133,4436,2.140869140625
818,66,72,651,2766,1.202880859375
819,63,96,882,5693,2.31494140625
820,78,73,856,4442,1.85205078125
821,70,89,686,2573,1.202880859375
822,83,66,78,5851,3.258056640625
823,82,66,568,6039,2.506103515625
824,99,90,1096,4400,1.9609375
825,85,74,895,3966,1.69482421875
826,89,58,375,1254,0.669921875
827,96,91,1299,5977,2.52197265625
828,69,88,241,6808,3.362060546875
829,54,67,521,2423,1.0380859375
830,69,85,720,2724,1.23291015625
831,80,52,429,4626,1.91015625
832,80,84,980,5860,2.39794921875
833,85,90,1072,4420,1.91796875
834,86,71,773,6280,2.539794921875
835,86,77,393,1311,0.7490234375
836,69,88,517,1746,0.889892578125
837,99,63,241,757,0.52880859375
838,100,59,156,481,0.4150390625
839,76,61,680,4149,1.694091796875
840,77,68,773,4418,1.8310546875
841,62,55,407,1590,0.721923828125
842,73,75,770,3069,1.34912109375
843,50,94,190,601,0.418212890625
844,100,51,93,5489,2.98193359375
845,68,61,385,1319,0.6572265625
846,86,75,186,7172,3.7119140625
847,67,50,394,3723,1.518798828125
848,72,79,601,2125,1.013916015625
849,82,71,803,5569,2.26416015625
850,70,83,842,5651,2.287109375
851,90,72,788,3073,1.38916015625
852,64,74,683,2965,1.283935546875
853,55,79,560,2290,1.01611328125
854,55,80,623,4291,1.75
855,82,79,20,6732,4.054931640625
856,51,68,483,3143,1.30517578125
857,62,88,614,5945,2.44287109375
858,74,63,697,3648,1.513916015625
859,61,99,894,4668,1.93896484375
860,64,96,369,7151,3.156005859375
861,51,92,545,5027,2.05908203125
862,99,76,356,1134,0.72021484375
863,65,99,96,6969,3.93896484375
864,70,55,436,4093,1.6708984375
865,64,96,223,6951,3.448974609375
866,99,79,320,8855,4.347900390625
867,68,52,94,3844,2.286865234375
868,99,96,1391,8311,3.695068359375
869,80,92,215,671,0.580078125
870,95,59,806,4996,2.16796875
871,67,95,543,1868,1.0009765625
872,92,69,475,1596,0.863037109375
873,59,53,100,3442,1.723876953125
874,97,86,503,1669,0.944091796875
875,60,100,2,6084,3.85693359375
876,51,90,209,5238,2.488037109375
877,73,89,877,6141,2.52587890625
878,52,56,151,3317,1.52783203125
879,92,70,449,7486,3.237060546875
880,91,89,132,8674,4.90185546875
881,76,88,676,7563,3.10986328125
882,51,63,1,3213,2.070068359375
883,58,50,420,1810,0.791015625
884,77,90,681,2426,1.18994140625
885,53,80,631,2997,1.280029296875
886,89,87,1045,4333,1.9091796875
887,67,66,399,1436,0.722900390625
888,52,57,213,709,0.385009765625
889,94,67,608,2243,1.069091796875
890,96,85,1085,8264,3.362060546875
891,82,76,945,5069,2.0869140625
892,69,86,417,1349,0.736083984375
893,52,72,204,4235,1.9150390625
894,51,53,189,629,0.342041015625
895,61,53,317,3671,1.527099609375
896,64,91,709,2758,1.24609375
897,89,74,563,7537,3.156005859375
898,97,62,930,5133,2.10205078125
899,54,88,709,3595,1.509033203125
900,80,68,145,5965,3.125
901,91,62,731,5789,2.349853515625
902,94,82,1045,4524,1.95703125
903,69,52,226,4130,1.845947265625
904,85,63,77,5687,3.255859375
905,85,57,158,5404,2.672119140625
906,59,56,192,630,0.364990234375
907,73,62,93,4884,2.72900390625
908,77,82,117,6770,3.739990234375
909,78,76,48,6165,3.625
910,52,80,605,3535,1.47802734375
911,56,78,621,4062,1.7001953125
912,79,73,373,6600,2.9638671875
913,68,59,478,1945,0.967041015625
914,83,68,843,4653,2.051025390625
915,73,60,28,4606,2.7919921875
916,99,70,744,7608,3.19482421875
917,92,66,836,5801,2.35986328125
918,50,93,554,4971,2.069091796875
919,61,94,840,5053,2.112060546875
920,73,66,214,5449,2.801025390625
921,51,94,624,2516,1.135009765625
922,80,55,202,5020,2.31494140625
923,96,78,2,7521,4.828857421875
924,67,71,365,5537,2.39697265625
925,94,69,153,7018,3.85302734375
926,73,63,269,5324,2.419921875
927,62,61,28,3925,2.336181640625
928,86,76,422,7562,3.319091796875
929,85,78,773,3008,1.385009765625
930,89,97,949,3619,1.664794921875
